HGT,UWind,VWind,TMP,isoBar_Pa,latitude,longitude,forecast_time_hr,forecast_time_unix
100.36964,-0.8550195,0.35065186,294.74075,100000.0,37.25,-78.75,12,1747242000
100.30563,-0.17501953,0.8906519,294.33075,100000.0,37.25,-78.5,12,1747242000
99.457634,-0.15501954,0.94065183,295.25073,100000.0,37.25,-78.25,12,1747242000
98.33763,-0.56501955,1.5006518,297.16074,100000.0,37.25,-78.0,12,1747242000
98.081635,-0.5450195,1.9706519,297.68076,100000.0,37.25,-77.75,12,1747242000
97.745636,-0.49501953,2.3206518,298.00073,100000.0,37.25,-77.5,12,1747242000
92.96163,0.87498045,0.81065184,296.50073,100000.0,37.5,-81.5,12,1747242000
94.83363,-0.12501954,1.1606518,296.20074,100000.0,37.5,-81.25,12,1747242000
97.39363,-1.2650195,1.0606519,295.53073,100000.0,37.5,-81.0,12,1747242000
99.60163,-0.46501952,1.1206518,294.63074,100000.0,37.5,-80.75,12,1747242000
100.62563,-0.27501953,1.1606518,294.52075,100000.0,37.5,-80.5,12,1747242000
101.72963,-0.61501956,0.86065185,294.34073,100000.0,37.5,-80.25,12,1747242000
101.553635,-0.51501954,0.97065187,294.26074,100000.0,37.5,-80.0,12,1747242000
100.97763,-0.31501952,1.3606519,294.45074,100000.0,37.5,-79.75,12,1747242000
101.82563,-1.3950195,0.5106518,294.81073,100000.0,37.5,-79.5,12,1747242000
103.47363,-1.3150195,-0.38934815,293.73074,100000.0,37.5,-79.25,12,1747242000
102.481636,-1.4250195,0.15065186,294.59073,100000.0,37.5,-79.0,12,1747242000
102.01763,-1.5550195,0.17065185,295.22073,100000.0,37.5,-78.75,12,1747242000
100.51363,-0.9650195,-0.10934815,295.46075,100000.0,37.5,-78.5,12,1747242000
99.24963,-1.0150195,0.030651856,296.24075,100000.0,37.5,-78.25,12,1747242000
98.609634,-0.93501955,0.93065184,296.90076,100000.0,37.5,-78.0,12,1747242000
98.83363,-1.0350195,1.3206519,297.23074,100000.0,37.5,-77.75,12,1747242000
98.593636,-0.8450195,1.4606519,297.80075,100000.0,37.5,-77.5,12,1747242000
315.9149,0.5677417,-0.21678954,293.72073,97500.0,36.5,-81.5,12,1747242000
316.4109,0.2577417,0.65321046,293.07074,97500.0,36.5,-81.25,12,1747242000
314.2509,-0.6022583,0.44321045,293.56073,97500.0,36.5,-81.0,12,1747242000
313.93088,-1.2222583,0.28321046,293.34073,97500.0,36.5,-80.75,12,1747242000
314.8589,-1.2922583,0.93321043,293.11075,97500.0,36.5,-80.5,12,1747242000
314.2989,-1.1322583,0.6332104,293.94073,97500.0,36.5,-80.25,12,1747242000
313.93088,-1.8722583,0.67321044,294.44073,97500.0,36.5,-80.0,12,1747242000
315.1949,-1.7922583,1.0432105,294.30075,97500.0,36.5,-79.75,12,1747242000
315.88287,-1.4522583,1.5032104,294.30075,97500.0,36.5,-79.5,12,1747242000
316.58688,-1.8722583,1.5532105,294.61075,97500.0,36.5,-79.25,12,1747242000
318.76288,-2.0022583,1.2132105,293.60074,97500.0,36.5,-79.0,12,1747242000
318.93887,-1.0322583,1.4832104,293.94073,97500.0,36.5,-78.75,12,1747242000
319.73886,-0.5522583,2.1332104,294.00073,97500.0,36.5,-78.5,12,1747242000
320.05887,-0.3322583,2.6632104,294.15076,97500.0,36.5,-78.25,12,1747242000
320.50687,-0.18225831,2.7032104,294.44073,97500.0,36.5,-78.0,12,1747242000
320.28287,-0.2522583,3.6132104,295.43076,97500.0,36.5,-77.75,12,1747242000
320.89087,-0.7122583,3.8732104,295.69073,97500.0,36.5,-77.5,12,1747242000
315.61087,0.8577417,0.09321045,293.71075,97500.0,36.75,-81.5,12,1747242000
315.65887,0.0377417,0.87321043,293.36075,97500.0,36.75,-81.25,12,1747242000
314.92288,-0.8822583,0.97321045,293.53073,97500.0,36.75,-81.0,12,1747242000
315.93088,-0.9222583,0.44321045,293.06073,97500.0,36.75,-80.75,12,1747242000
316.04288,-0.8622583,0.86321044,293.41074,97500.0,36.75,-80.5,12,1747242000
317.32288,-1.3122582,0.10321045,292.88074,97500.0,36.75,-80.25,12,1747242000
314.87488,-1.5222583,-0.08678955,294.05075,97500.0,36.75,-80.0,12,1747242000
315.29086,-1.8422583,0.18321045,294.22073,97500.0,36.75,-79.75,12,1747242000
316.12286,-1.8122582,0.53321046,293.94073,97500.0,36.75,-79.5,12,1747242000
316.23486,-2.8022583,0.99321043,294.35074,97500.0,36.75,-79.25,12,1747242000
318.95486,-2.9622583,0.22321045,292.85074,97500.0,36.75,-79.0,12,1747242000
319.43488,-2.0822582,-0.31678954,292.90076,97500.0,36.75,-78.75,12,1747242000
319.16287,-1.8022583,0.6932104,293.92075,97500.0,36.75,-78.5,12,1747242000
319.8029,-1.2122583,1.8832104,294.04074,97500.0,36.75,-78.25,12,1747242000
319.56287,-0.8522583,2.6032104,295.16074,97500.0,36.75,-78.0,12,1747242000
319.56287,-0.4222583,3.0232105,295.42075,97500.0,36.75,-77.75,12,1747242000
320.28287,-0.9822583,3.2932105,295.84073,97500.0,36.75,-77.5,12,1747242000
313.64288,0.9877417,0.84321046,294.03073,97500.0,37.0,-81.5,12,1747242000
313.4669,-0.4622583,1.5132104,294.11075,97500.0,37.0,-81.25,12,1747242000
313.89886,-0.9122583,1.8132105,293.93076,97500.0,37.0,-81.0,12,1747242000
315.00287,-1.2622583,0.46321046,293.69073,97500.0,37.0,-80.75,12,1747242000
318.61887,-1.3522583,0.05321045,292.07074,97500.0,37.0,-80.5,12,1747242000
319.78687,-0.9822583,0.05321045,291.48074,97500.0,37.0,-80.25,12,1747242000
316.60287,-0.9722583,0.14321046,293.23074,97500.0,37.0,-80.0,12,1747242000
315.4669,-1.5522583,0.73321044,294.19073,97500.0,37.0,-79.75,12,1747242000
315.97888,-2.1822584,0.60321045,294.08075,97500.0,37.0,-79.5,12,1747242000
317.01886,-2.7522583,0.77321047,294.01074,97500.0,37.0,-79.25,12,1747242000
319.67487,-3.2122583,0.24321045,292.52075,97500.0,37.0,-79.0,12,1747242000
319.72287,-1.9722583,-0.78678954,292.44073,97500.0,37.0,-78.75,12,1747242000
319.53088,-2.0022583,0.19321045,293.40076,97500.0,37.0,-78.5,12,1747242000
319.25888,-1.5022583,1.6632104,294.52075,97500.0,37.0,-78.25,12,1747242000
319.3069,-0.8022583,2.6332104,295.10074,97500.0,37.0,-78.0,12,1747242000
318.92288,-0.4822583,3.0032105,295.85074,97500.0,37.0,-77.75,12,1747242000
319.21088,-0.8522583,3.1432104,295.97073,97500.0,37.0,-77.5,12,1747242000
311.21088,1.2377417,0.77321047,294.64075,97500.0,37.25,-81.5,12,1747242000
310.90686,0.2577417,1.2432104,294.88074,97500.0,37.25,-81.25,12,1747242000
312.92288,-1.0822583,1.5632105,294.30075,97500.0,37.25,-81.0,12,1747242000
316.7469,-0.9922583,0.87321043,293.06073,97500.0,37.25,-80.75,12,1747242000
318.34686,-0.9222583,1.1132104,292.33075,97500.0,37.25,-80.5,12,1747242000
318.09088,-0.5422583,0.49321043,292.06073,97500.0,37.25,-80.25,12,1747242000
317.3069,-0.4422583,0.6332104,292.95074,97500.0,37.25,-80.0,12,1747242000
317.21088,-1.6722583,0.93321043,293.32074,97500.0,37.25,-79.75,12,1747242000
317.62686,-2.5122583,0.66321045,293.55075,97500.0,37.25,-79.5,12,1747242000
318.33087,-2.8022583,0.53321046,293.57074,97500.0,37.25,-79.25,12,1747242000
318.79486,-2.8622582,0.84321046,293.58075,97500.0,37.25,-79.0,12,1747242000
319.17886,-1.6322583,0.35321045,293.16074,97500.0,37.25,-78.75,12,1747242000
319.49887,-0.9122583,0.93321043,293.50073,97500.0,37.25,-78.5,12,1747242000
319.33887,-0.9622583,1.4532105,294.22073,97500.0,37.25,-78.25,12,1747242000
319.2429,-1.0622582,2.3432105,295.04074,97500.0,37.25,-78.0,12,1747242000
319.29086,-0.8122583,2.9532104,295.37073,97500.0,37.25,-77.75,12,1747242000
319.2429,-0.6122583,2.8632104,295.75073,97500.0,37.25,-77.5,12,1747242000
309.29086,0.8677417,0.8132104,295.09073,97500.0,37.5,-81.5,12,1747242000
310.7469,-0.1322583,1.1632104,294.80075,97500.0,37.5,-81.25,12,1747242000
313.29086,-1.2622583,1.0632105,294.13074,97500.0,37.5,-81.0,12,1747242000
315.49887,-0.4622583,1.1232104,293.23074,97500.0,37.5,-80.75,12,1747242000
316.28287,-0.2722583,1.1632104,293.12073,97500.0,37.5,-80.5,12,1747242000
317.45087,-0.6122583,0.86321044,292.94073,97500.0,37.5,-80.25,12,1747242000
317.75488,-0.5122583,0.97321045,292.86075,97500.0,37.5,-80.0,12,1747242000
317.62686,-0.3222583,1.3632104,293.04074,97500.0,37.5,-79.75,12,1747242000
318.60287,-1.4022583,0.5132105,293.40076,97500.0,37.5,-79.5,12,1747242000
320.79486,-1.5822583,-0.41678956,292.28073,97500.0,37.5,-79.25,12,1747242000
320.9709,-2.2222583,0.42321044,292.87073,97500.0,37.5,-79.0,12,1747242000
320.9709,-2.1522584,0.45321044,293.26074,97500.0,37.5,-78.75,12,1747242000
320.04288,-1.4622583,0.25321046,293.53073,97500.0,37.5,-78.5,12,1747242000
319.48288,-1.5222583,0.41321045,294.14075,97500.0,37.5,-78.25,12,1747242000
319.3549,-1.4422584,1.4732105,294.72073,97500.0,37.5,-78.0,12,1747242000
319.8029,-1.4222583,1.9732105,295.05075,97500.0,37.5,-77.75,12,1747242000
319.85086,-0.9322583,1.9332105,295.48074,97500.0,37.5,-77.5,12,1747242000
536.9938,0.56799835,-0.21706052,292.2905,95000.0,36.5,-81.5,12,1747242000
537.60175,0.25799835,0.6529395,291.6305,95000.0,36.5,-81.25,12,1747242000
536.14575,-0.60200167,0.44293946,292.12048,95000.0,36.5,-81.0,12,1747242000
537.1857,-1.4720017,0.34293947,291.5605,95000.0,36.5,-80.75,12,1747242000
538.27374,-1.7220017,1.2529395,291.02048,95000.0,36.5,-80.5,12,1747242000
538.4177,-1.7320017,0.8429395,291.80048,95000.0,36.5,-80.25,12,1747242000
538.40173,-2.0220017,0.83293945,292.1905,95000.0,36.5,-80.0,12,1747242000
539.56976,-1.7920016,1.1829395,292.08047,95000.0,36.5,-79.75,12,1747242000
540.27374,-1.4920017,1.6729394,292.1005,95000.0,36.5,-79.5,12,1747242000
541.2178,-1.5920017,1.7629395,292.3805,95000.0,36.5,-79.25,12,1747242000
542.72174,-1.8620017,1.8929394,291.5005,95000.0,36.5,-79.0,12,1747242000
543.1058,-0.94200164,2.0129395,291.80048,95000.0,36.5,-78.75,12,1747242000
543.9858,-0.46200165,2.3929396,291.8805,95000.0,36.5,-78.5,12,1747242000
544.46576,-0.32200164,3.1129394,292.11047,95000.0,36.5,-78.25,12,1747242000
545.15375,-0.43200165,3.3129394,292.4505,95000.0,36.5,-78.0,12,1747242000
545.58575,-0.35200164,3.8429394,293.2505,95000.0,36.5,-77.75,12,1747242000
546.38574,-0.63200164,3.9729395,293.5305,95000.0,36.5,-77.5,12,1747242000
536.89777,0.8579984,0.09293947,292.27048,95000.0,36.75,-81.5,12,1747242000
536.92975,0.037998352,0.87293947,291.9205,95000.0,36.75,-81.25,12,1747242000
536.5297,-0.88200164,0.9729395,292.09048,95000.0,36.75,-81.0,12,1747242000
537.5217,-0.92200166,0.44293946,291.62048,95000.0,36.75,-80.75,12,1747242000
537.6658,-0.86200166,0.8629395,291.9705,95000.0,36.75,-80.5,12,1747242000
539.7618,-1.4120016,0.11293947,291.3505,95000.0,36.75,-80.25,12,1747242000
539.05774,-2.0920017,0.11293947,291.84048,95000.0,36.75,-80.0,12,1747242000
539.5538,-2.0620017,0.43293947,291.8905,95000.0,36.75,-79.75,12,1747242000
540.27374,-1.9420017,0.76293945,291.7305,95000.0,36.75,-79.5,12,1747242000
540.67377,-2.6120017,1.1529394,292.18048,95000.0,36.75,-79.25,12,1747242000
542.27374,-2.8020017,0.9829395,290.9105,95000.0,36.75,-79.0,12,1747242000
542.8818,-2.4120016,0.6029395,291.05048,95000.0,36.75,-78.75,12,1747242000
543.3137,-1.8120017,1.2129395,291.86047,95000.0,36.75,-78.5,12,1747242000
544.1138,-1.3720016,2.1329396,292.09048,95000.0,36.75,-78.25,12,1747242000
544.60974,-0.95200163,2.7529395,292.9505,95000.0,36.75,-78.0,12,1747242000
544.81775,-0.54200166,3.2029395,293.2205,95000.0,36.75,-77.75,12,1747242000
545.8898,-0.8920016,3.3829396,293.6605,95000.0,36.75,-77.5,12,1747242000
535.3137,0.98799837,0.8429395,292.59048,95000.0,37.0,-81.5,12,1747242000
535.0897,-0.46200165,1.5129395,292.6705,95000.0,37.0,-81.25,12,1747242000
535.80975,-0.91200167,1.8129395,292.49048,95000.0,37.0,-81.0,12,1747242000
537.02576,-1.2620016,0.46293947,292.24048,95000.0,37.0,-80.75,12,1747242000
539.93774,-1.3520017,0.05293947,290.6305,95000.0,37.0,-80.5,12,1747242000
540.9777,-0.99200165,0.05293947,290.0405,95000.0,37.0,-80.25,12,1747242000
539.82574,-1.1520016,0.19293948,291.5305,95000.0,37.0,-80.0,12,1747242000
539.69775,-1.8820016,1.0029395,291.8505,95000.0,37.0,-79.75,12,1747242000
540.17773,-2.3520017,0.8529395,291.8105,95000.0,37.0,-79.5,12,1747242000
541.23376,-2.7520018,1.0829395,291.8205,95000.0,37.0,-79.25,12,1747242000
542.7537,-2.8120017,0.7229395,290.49048,95000.0,37.0,-79.0,12,1747242000
543.0737,-2.9320016,0.3529395,291.33047,95000.0,37.0,-78.75,12,1747242000
543.47375,-2.6820016,0.6029395,291.77048,95000.0,37.0,-78.5,12,1747242000
543.84174,-1.7320017,1.8729395,292.34048,95000.0,37.0,-78.25,12,1747242000
544.28973,-0.98200166,2.7629395,292.86047,95000.0,37.0,-78.0,12,1747242000
544.46576,-0.70200163,3.1429396,293.62048,95000.0,37.0,-77.75,12,1747242000
544.8818,-0.81200165,3.2929394,293.7605,95000.0,37.0,-77.5,12,1747242000
533.4097,1.2379984,0.77293944,293.1905,95000.0,37.25,-81.5,12,1747242000
532.83374,0.25799835,1.2429395,293.4405,95000.0,37.25,-81.25,12,1747242000
534.84973,-1.0820017,1.5629395,292.86047,95000.0,37.25,-81.0,12,1747242000
538.5458,-0.99200165,0.87293947,291.62048,95000.0,37.25,-80.75,12,1747242000
539.92175,-0.92200166,1.1129395,290.8905,95000.0,37.25,-80.5,12,1747242000
539.7618,-0.54200166,0.49293947,290.62048,95000.0,37.25,-80.25,12,1747242000
540.35376,-0.61200166,0.87293947,291.21048,95000.0,37.25,-80.0,12,1747242000
540.91376,-2.1720016,1.5029395,291.2005,95000.0,37.25,-79.75,12,1747242000
541.45776,-2.7920017,0.95293945,291.2905,95000.0,37.25,-79.5,12,1747242000
542.22577,-2.9720016,0.9229395,291.40048,95000.0,37.25,-79.25,12,1747242000
542.6417,-2.9220016,0.9629395,291.4105,95000.0,37.25,-79.0,12,1747242000
542.83374,-2.1820016,0.5329395,291.18048,95000.0,37.25,-78.75,12,1747242000
543.4257,-1.6320016,0.82293946,291.5005,95000.0,37.25,-78.5,12,1747242000
543.7778,-1.6120017,1.5729395,292.18048,95000.0,37.25,-78.25,12,1747242000
544.24176,-1.2820016,2.5229394,292.86047,95000.0,37.25,-78.0,12,1747242000
544.5297,-0.87200165,3.1429396,293.1905,95000.0,37.25,-77.75,12,1747242000
544.7698,-0.6420016,3.0929394,293.55048,95000.0,37.25,-77.5,12,1747242000
532.36975,0.86799836,0.81293947,293.6405,95000.0,37.5,-81.5,12,1747242000
532.8818,-0.13200165,1.1629394,293.3505,95000.0,37.5,-81.25,12,1747242000
535.36176,-1.2620016,1.0629395,292.6905,95000.0,37.5,-81.0,12,1747242000
537.58575,-0.46200165,1.1229395,291.7805,95000.0,37.5,-80.75,12,1747242000
537.82574,-0.27200165,1.1629394,291.68048,95000.0,37.5,-80.5,12,1747242000
539.1058,-0.61200166,0.8629395,291.49048,95000.0,37.5,-80.25,12,1747242000
540.4177,-0.56200165,1.1629394,291.33047,95000.0,37.5,-80.0,12,1747242000
540.9777,-0.6520016,2.0029395,291.30048,95000.0,37.5,-79.75,12,1747242000
542.12976,-1.9020016,0.75293946,291.49048,95000.0,37.5,-79.5,12,1747242000
543.84174,-2.3920016,0.18293947,290.34048,95000.0,37.5,-79.25,12,1747242000
544.36975,-2.5720017,0.82293946,290.7505,95000.0,37.5,-79.0,12,1747242000
544.62573,-2.1320016,0.8529395,291.1005,95000.0,37.5,-78.75,12,1747242000
543.93774,-1.6420016,0.7429395,291.37048,95000.0,37.5,-78.5,12,1747242000
543.82574,-1.7320017,0.83293945,291.96048,95000.0,37.5,-78.25,12,1747242000
544.14575,-1.5720017,1.6729394,292.5405,95000.0,37.5,-78.0,12,1747242000
544.83374,-1.4220016,2.1729395,292.87048,95000.0,37.5,-77.75,12,1747242000
545.12177,-0.88200164,2.2229395,293.2605,95000.0,37.5,-77.5,12,1747242000
763.97754,0.5674686,-0.20940429,290.81067,92500.0,36.5,-81.5,12,1747242000
764.7936,0.25746858,0.6505957,290.16068,92500.0,36.5,-81.25,12,1747242000
764.3616,-0.6925314,0.47059572,290.4007,92500.0,36.5,-81.0,12,1747242000
765.3536,-1.3825314,0.5005957,289.31067,92500.0,36.5,-80.75,12,1747242000
766.08954,-1.6925315,1.3805957,288.8607,92500.0,36.5,-80.5,12,1747242000
766.7776,-1.8825314,0.9705957,289.60068,92500.0,36.5,-80.25,12,1747242000
767.08154,-1.9825314,0.9505957,289.98068,92500.0,36.5,-80.0,12,1747242000
768.18555,-1.7025315,1.2905957,289.8907,92500.0,36.5,-79.75,12,1747242000
768.9056,-1.4725314,1.7805957,289.9007,92500.0,36.5,-79.5,12,1747242000
770.05756,-1.2325314,2.0005958,290.22067,92500.0,36.5,-79.25,12,1747242000
771.03357,-1.3025315,2.8905957,289.6707,92500.0,36.5,-79.0,12,1747242000
771.59357,-0.5625314,2.8005958,289.81067,92500.0,36.5,-78.75,12,1747242000
772.53754,-0.26253143,2.8405957,289.85068,92500.0,36.5,-78.5,12,1747242000
773.2256,-0.30253142,3.6905956,290.25067,92500.0,36.5,-78.25,12,1747242000
774.2176,-0.58253145,3.9105957,290.54068,92500.0,36.5,-78.0,12,1747242000
775.16156,-0.43253145,4.0405955,291.06067,92500.0,36.5,-77.75,12,1747242000
776.16956,-0.52253145,4.0705957,291.4007,92500.0,36.5,-77.5,12,1747242000
764.2336,0.85746855,0.100595705,290.79068,92500.0,36.75,-81.5,12,1747242000
764.2176,0.037468567,0.8805957,290.44067,92500.0,36.75,-81.25,12,1747242000
764.37756,-0.89253145,1.0005957,290.5907,92500.0,36.75,-81.0,12,1747242000
765.32153,-0.9925314,0.4805957,290.03067,92500.0,36.75,-80.75,12,1747242000
765.52954,-0.8725314,0.8705957,290.4907,92500.0,36.75,-80.5,12,1747242000
767.83356,-1.7225314,0.2905957,289.22067,92500.0,36.75,-80.25,12,1747242000
767.4496,-2.1125314,0.3905957,289.6407,92500.0,36.75,-80.0,12,1747242000
767.9936,-1.9825314,0.6705957,289.69067,92500.0,36.75,-79.75,12,1747242000
768.64954,-1.9625314,0.9705957,289.54068,92500.0,36.75,-79.5,12,1747242000
769.36957,-2.3325315,1.4205956,290.0807,92500.0,36.75,-79.25,12,1747242000
770.29755,-2.3525314,2.9205956,289.6807,92500.0,36.75,-79.0,12,1747242000
771.14557,-2.3025315,3.0805957,290.1507,92500.0,36.75,-78.75,12,1747242000
771.84955,-1.5425315,2.4405956,290.19067,92500.0,36.75,-78.5,12,1747242000
772.9056,-1.4225315,2.7705958,290.50067,92500.0,36.75,-78.25,12,1747242000
773.9136,-0.95253146,3.0005958,290.8707,92500.0,36.75,-78.0,12,1747242000
774.31354,-0.6325314,3.3805957,291.06067,92500.0,36.75,-77.75,12,1747242000
775.75354,-0.78253144,3.4505956,291.47067,92500.0,36.75,-77.5,12,1747242000
763.2416,0.98746854,0.8505957,291.1107,92500.0,37.0,-81.5,12,1747242000
762.96954,-0.46253145,1.5205957,291.19067,92500.0,37.0,-81.25,12,1747242000
764.1056,-0.97253144,1.9505957,290.91068,92500.0,37.0,-81.0,12,1747242000
765.40155,-1.4325315,0.6405957,290.32068,92500.0,37.0,-80.75,12,1747242000
767.19354,-1.5825315,0.1405957,289.06067,92500.0,37.0,-80.5,12,1747242000
768.0096,-1.6325314,0.1805957,288.4607,92500.0,37.0,-80.25,12,1747242000
767.97754,-1.4125314,0.3805957,289.26068,92500.0,37.0,-80.0,12,1747242000
768.08954,-1.8725314,1.1505957,289.63068,92500.0,37.0,-79.75,12,1747242000
768.5856,-2.3325315,1.0705957,289.6207,92500.0,37.0,-79.5,12,1747242000
769.6576,-2.6525314,1.3605957,289.66068,92500.0,37.0,-79.25,12,1747242000
770.3456,-2.1525314,2.0605958,289.26068,92500.0,37.0,-79.0,12,1747242000
