      HGT,    UWind,    VWind,   TMP,isoBar_Pa,latitude,longitude,forecast_time_hr,forecast_time_unix
39388.957,35.429127,2.12688,248.92,300.0,36.75,-79.5,12:00:00,1681056000.0
39389.598,35.639126,1.7668798,248.83,300.0,36.75,-79.25,12:00:00,1681056000.0
39389.836,35.879128,1.4068799,248.89,300.0,36.75,-79.0,12:00:00,1681056000.0
39391.355,35.84913,1.2068799,249.04999,300.0,36.75,-78.75,12:00:00,1681056000.0
39393.598,35.629128,1.1168798,249.15,300.0,36.75,-78.5,12:00:00,1681056000.0
39395.676,35.48913,1.0568799,249.11,300.0,36.75,-78.25,12:00:00,1681056000.0
39396.797,35.589127,0.9368799,249.01999,300.0,36.75,-78.0,12:00:00,1681056000.0
39396.957,35.84913,0.70687985,249.04999,300.0,36.75,-77.75,12:00:00,1681056000.0
39397.438,35.949127,0.47687986,249.26999,300.0,36.75,-77.5,12:00:00,1681056000.0
39378.24,35.66913,3.8868797,248.98999,300.0,36.5,-81.5,12:00:00,1681056000.0
39380.715,35.479126,3.3568797,249.08,300.0,36.5,-81.25,12:00:00,1681056000.0
39383.355,35.309128,2.90688,249.11,300.0,36.5,-81.0,12:00:00,1681056000.0
39385.918,35.25913,2.5668797,249.08,300.0,36.5,-80.75,12:00:00,1681056000.0
39388.156,35.319126,2.3268797,249.06,300.0,36.5,-80.5,12:00:00,1681056000.0
39390.797,35.34913,2.11688,249.06999,300.0,36.5,-80.25,12:00:00,1681056000.0
39393.758,35.319126,1.9468799,249.06999,300.0,36.5,-80.0,12:00:00,1681056000.0
39396.156,35.34913,1.7368798,249.0,300.0,36.5,-79.75,12:00:00,1681056000.0
39397.035,35.569126,1.4468799,248.93999,300.0,36.5,-79.5,12:00:00,1681056000.0
39396.715,35.879128,1.1068798,249.03,300.0,36.5,-79.25,12:00:00,1681056000.0
39397.598,35.889126,0.81687987,249.28,300.0,36.5,-79.0,12:00:00,1681056000.0
39399.996,35.569126,0.65687984,249.48,300.0,36.5,-78.75,12:00:00,1681056000.0
39402.555,35.269127,0.5468799,249.5,300.0,36.5,-78.5,12:00:00,1681056000.0
39404.316,35.18913,0.40687987,249.37999,300.0,36.5,-78.25,12:00:00,1681056000.0
39404.957,35.36913,0.19687988,249.29,300.0,36.5,-78.0,12:00:00,1681056000.0
39405.355,35.539127,0.06687988,249.37999,300.0,36.5,-77.75,12:00:00,1681056000.0
39407.035,35.41913,0.08687988,249.56999,300.0,36.5,-77.5,12:00:00,1681056000.0
35673.465,34.29833,6.499615,242.80911,500.0,37.5,-81.5,12:00:00,1681056000.0
35673.625,34.33833,6.229615,242.80911,500.0,37.5,-81.25,12:00:00,1681056000.0
35674.027,34.40833,5.7796154,242.81912,500.0,37.5,-81.0,12:00:00,1681056000.0
35674.707,34.51833,5.249615,242.86911,500.0,37.5,-80.75,12:00:00,1681056000.0
35675.83,34.55833,4.8296156,243.00911,500.0,37.5,-80.5,12:00:00,1681056000.0
35677.867,34.39833,4.5996156,243.16911,500.0,37.5,-80.25,12:00:00,1681056000.0
35680.426,34.10833,4.5596156,243.19911,500.0,37.5,-80.0,12:00:00,1681056000.0
35682.867,33.848328,4.479615,243.04912,500.0,37.5,-79.75,12:00:00,1681056000.0
35684.266,33.87833,4.269615,242.78911,500.0,37.5,-79.5,12:00:00,1681056000.0
35684.906,34.22833,3.9696155,242.60912,500.0,37.5,-79.25,12:00:00,1681056000.0
35684.945,34.70833,3.7796154,242.57912,500.0,37.5,-79.0,12:00:00,1681056000.0
35684.785,35.19833,3.7496154,242.67912,500.0,37.5,-78.75,12:00:00,1681056000.0
35684.945,35.57833,3.8196154,242.89911,500.0,37.5,-78.5,12:00:00,1681056000.0
35685.906,35.78833,3.8796153,243.07912,500.0,37.5,-78.25,12:00:00,1681056000.0
35687.066,36.01833,3.8696153,243.18912,500.0,37.5,-78.0,12:00:00,1681056000.0
35688.066,36.38833,3.7496154,243.36911,500.0,37.5,-77.75,12:00:00,1681056000.0
35689.31,36.66833,3.6396153,243.61911,500.0,37.5,-77.5,12:00:00,1681056000.0
35680.387,34.19833,6.9696155,243.02911,500.0,37.25,-81.5,12:00:00,1681056000.0
35680.066,34.36833,6.7396154,242.91911,500.0,37.25,-81.25,12:00:00,1681056000.0
35679.83,34.65833,6.3896155,242.94911,500.0,37.25,-81.0,12:00:00,1681056000.0
35680.15,34.88833,5.999615,243.13911,500.0,37.25,-80.75,12:00:00,1681056000.0
35681.348,34.94833,5.7196155,243.37912,500.0,37.25,-80.5,12:00:00,1681056000.0
35683.31,34.82833,5.6196156,243.56912,500.0,37.25,-80.25,12:00:00,1681056000.0
35685.426,34.56833,5.5496154,243.56912,500.0,37.25,-80.0,12:00:00,1681056000.0
35687.105,34.48833,5.309615,243.46912,500.0,37.25,-79.75,12:00:00,1681056000.0
35688.426,34.61833,4.8896155,243.40912,500.0,37.25,-79.5,12:00:00,1681056000.0
35689.99,34.74833,4.499615,243.40912,500.0,37.25,-79.25,12:00:00,1681056000.0
35691.508,34.848328,4.3196154,243.37912,500.0,37.25,-79.0,12:00:00,1681056000.0
35692.426,35.098328,4.3396153,243.28911,500.0,37.25,-78.75,12:00:00,1681056000.0
35693.15,35.40833,4.4196153,243.23912,500.0,37.25,-78.5,12:00:00,1681056000.0
35693.906,35.73833,4.4396152,243.23912,500.0,37.25,-78.25,12:00:00,1681056000.0
35694.668,36.05833,4.3696156,243.30911,500.0,37.25,-78.0,12:00:00,1681056000.0
35695.668,36.40833,4.3496156,243.48912,500.0,37.25,-77.75,12:00:00,1681056000.0
35697.105,36.66833,4.4496155,243.68912,500.0,37.25,-77.5,12:00:00,1681056000.0
35685.586,34.42833,8.029615,243.46912,500.0,37.0,-81.5,12:00:00,1681056000.0
35686.027,34.46833,7.5896153,243.31912,500.0,37.0,-81.25,12:00:00,1681056000.0
35686.465,34.74833,7.1896152,243.25911,500.0,37.0,-81.0,12:00:00,1681056000.0
35687.227,34.98833,6.8696156,243.33911,500.0,37.0,-80.75,12:00:00,1681056000.0
35688.547,35.06833,6.6196156,243.46912,500.0,37.0,-80.5,12:00:00,1681056000.0
35690.066,35.05833,6.4096155,243.56912,500.0,37.0,-80.25,12:00:00,1681056000.0
35691.348,35.028328,6.1896152,243.59912,500.0,37.0,-80.0,12:00:00,1681056000.0
35692.426,35.11833,5.9396152,243.63911,500.0,37.0,-79.75,12:00:00,1681056000.0
35693.906,35.21833,5.7596154,243.77911,500.0,37.0,-79.5,12:00:00,1681056000.0
35695.99,35.13833,5.6496153,243.85912,500.0,37.0,-79.25,12:00:00,1681056000.0
35697.746,35.12833,5.519615,243.77911,500.0,37.0,-79.0,12:00:00,1681056000.0
35698.668,35.22833,5.289615,243.60912,500.0,37.0,-78.75,12:00:00,1681056000.0
35699.465,35.54833,5.0296154,243.47911,500.0,37.0,-78.5,12:00:00,1681056000.0
35700.426,35.81833,4.789615,243.46912,500.0,37.0,-78.25,12:00:00,1681056000.0
35701.785,36.04833,4.6696153,243.54912,500.0,37.0,-78.0,12:00:00,1681056000.0
35703.707,36.21833,4.7796154,243.61911,500.0,37.0,-77.75,12:00:00,1681056000.0
35705.188,36.438328,4.979615,243.61911,500.0,37.0,-77.5,12:00:00,1681056000.0
35690.066,34.67833,9.059615,243.55911,500.0,36.75,-81.5,12:00:00,1681056000.0
35691.027,34.82833,8.669616,243.57912,500.0,36.75,-81.25,12:00:00,1681056000.0
35692.266,34.95833,8.229615,243.58911,500.0,36.75,-81.0,12:00:00,1681056000.0
35693.668,35.16833,7.7996154,243.58911,500.0,36.75,-80.75,12:00:00,1681056000.0
